 作者  MrSatan (老大!!!!!!!!)                                    看板  C_Chat 
 標題  Re: [推投] 最喜歡日本女聲優前三名 "積分制"投票結果                     
 時間  Wed May  6 21:00:17 2020                                               
───────────────────────────────────────

共307人投/總票數865票/出現162位女聲優
有修正格式/名字

第十名
東山奈央 第一名票: 7票 總票數:24票 總積分: 47分  28歲(並列)
 種田梨沙 第一名票: 9票 總票數:21票 總積分: 47分  31歲
https://i.imgur.com/gEKQjfO.jpg

第九名
佐倉綾音 第一名票: 9票 總票數:28票 總積分: 53分  26歲
https://i.imgur.com/KKojdZ7.jpg

第八名
林原惠   第一名票:14票 總票數:21票 總積分: 54分  53歲
https://i.imgur.com/vUYjk1C.jpg

第七名
悠木碧   第一名票: 8票 總票數:31票 總積分: 60分  28歲
https://i.imgur.com/nJdGcL3.jpg

第六名
水瀨祈   第一名票:14票 總票數:29票 總積分: 66分  24歲
https://i.imgur.com/UYkQZdQ.jpg
第四名
花澤香菜 第一名票:12票 總票數:38票 總積分: 76分  31歲
https://i.imgur.com/XUVbmIH.jpg

第三名
高橋李依 第一名票:15票 總票數:38票 總積分: 77分  26歲
https://i.imgur.com/jm2lR5y.jpg

第二名
茅野愛衣 第一名票:15票 總票數:38票 總積分: 82分  32歲
https://i.imgur.com/p7hGMn2.jpg

第一名
早見沙織 第一名票:26票 總票數:71票 總積分:149分  28歲
https://i.imgur.com/kDwsz6q.jpg


第一 第一 第二 第三 總票 票數  總 
 RK 聲優     名票 票率 名票 名票  數 /人數 積分
1 早見沙織   26 8.5%  26   19   71 23.1%  149  28歲(1991/05/29)
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 150.117.222.189 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770679.A.725.html
推 youareabitch: 還知道要把主角設成JK 懂畫                         05/06 21:19
→ hom5473: 這女主第一回就大露內褲啊 不過豹紋實在沒feel            05/06 21:27


--------------------------------------------------------


 作者  dragon803 (好想去露營啊~)                                 看板  C_Chat 
 標題  [20春] 輝夜姬想讓人告白 S2 04                                          
 時間  Wed May  6 21:12:27 2020                                               
───────────────────────────────────────

防雷，有刀劍神域的動畫相關雷(?











































這集伊井野的部分拉了刀劍神域Staff的人來，板垣彰子，這個人是完全沒有參與輝夜一
期的，也是第一次出現在二期中

如果有看刀劍神域三期後半的應該會對這個名字稍微有點記憶

因為官方之前的宣傳圖，板垣彰子有參加過，他畫了這張師徒的宣傳圖

然後....當徒弟的那個該集就掛了....真是的

https://imgur.com/K5FfPDZ.jpg

不過那集也是板垣彰子讓人留下印象深刻的一集，一個人單獨操刀了艾爾多利耶最後跟愛
麗絲到別的那段

這段表現非常強大，把愛麗絲的情緒，難過跟不捨，甚至到最後因為失去徒弟後的憤怒呈
現的非常好

(三期後半我最喜歡的一段之一)

https://imgur.com/wD3V3HJ.jpg

https://imgur.com/bPiZJch.jpg
https://imgur.com/3WAhMJM.jpg

https://imgur.com/lsmQfQ7.jpg https://imgur.com/KMrke5A.jpg

這集板垣彰子負責關於伊井野的就是這部份

https://imgur.com/yA4DnQH.gif https://imgur.com/prBvkw0.gif

(啊是說轉身後來的那個表情很銳利呢）

回到劇情面，看起來後半的故事應該會是白銀跟伊井野的對決部份吧

在有了輝夜幫忙後(?)白銀呈現壓倒性的優勢，那段一拳超人老師的聲音都出現啦

(而且我覺得石上跟白銀這集的同步率好高，特別是一起吐槽書記的時候很最一致，非常
有趣

伊井野稱讚書記那段的作畫很可愛，書記的臉看的很讓人治癒

另外從互動上來看，石上以前應該跟伊井野發生過什麼事情(?

他的情緒反應沒有呈現很極端的恐懼或是吐槽，尤其是最後那段更像是”這傢伙怎麼又來
”的熟悉感，很新鮮XD

總之，感覺這個篇章會持續一陣子，慢慢期待啦~

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.217.240.245 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770749.A.FFB.html
※ 編輯: dragon803 (180.217.240.245 臺灣), 05/06/2020 21:13:00
※ 編輯: dragon803 (180.217.240.245 臺灣), 05/06/2020 21:14:20
推 kinomon: 原來是這樣                                             05/06 21:22
推 yankeefat: 石上跟伊井野過去可以說發生了甚麼 也可以說沒發生甚麼  05/06 21:36
→ yankeefat: 簡單說兩人就是互看不順眼 常鬥嘴                      05/06 21:37
→ yankeefat: 可是又常常在對方的背後偷偷幫忙 彼此都不知情          05/06 21:37
→ yankeefat: 所以看他們的互動很有趣                               05/06 21:37
推 f92174: 開扁                                                    05/06 21:40
推 yankeefat: 石上跟伊井野 跟千花 還有跟輝夜的互動模式都不一樣     05/06 21:41
→ yankeefat: 真的很討喜                                           05/06 21:41


--------------------------------------------------------


 作者  Narancia (ジャサイカギーン)                               看板  C_Chat 
 標題  [實況] 腰子 聖劍傳說3 Trials of Mana(Hard)                             
 時間  Wed May  6 21:12:42 2020                                               
───────────────────────────────────────


http://www.twitch.tv/narancia

第 2 輪 Hard

準備轉四階職業進結尾，
安潔菈和莉絲第一輪都走闇，
這次來轉光四階。

--

「退屈だったから、  広
島  対  横  浜  戦見てきたわ、地味な一  戦と思う」


朱鷺  戸沙耶　　　　　　リトルバスターズ！ＥＸ

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.136.207.243 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770764.A.5C9.html


--------------------------------------------------------


 作者  tLuesuGi (上杉不識庵真光謙信)                             看板  C_Chat 
 標題  [閒聊] 東山奈央開ig了                                                  
 時間  Wed May  6 21:14:26 2020                                               
───────────────────────────────────────

twitter剛發出來剛好看到

ig目前是只有一張圖

大概是醬

https://twitter.com/naobou_official/status/1258019701034082312?s=20

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.185.168.34 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770870.A.442.html
推 waitan: 這是真的還是假的？                                      05/06 21:15
推 MIKE47: 本人推特自己推的難道還會是假的嗎...                     05/06 21:16
推 clavi: 老男性的成員最近接連開IG 種田-諏訪-東山                  05/06 21:19
推 jingtz: https://www.instagram.com/naobou_official/              05/06 21:25
→ jingtz: 而且這週末就要開iG LIVE了                               05/06 21:25
→ allanbrook: 是真的啊                                            05/06 21:30
推 johe1122: 最近很多聲優開始用ig 我家李依也是                     05/06 21:31
推 strayfrog: 我她媽還不加爆                                       05/06 21:54


--------------------------------------------------------


 作者  ChaosK (KSK)                                              看板  C_Chat 
 標題  Re: [問題] 現在還在鹹蛋超人是老害嗎？                                  
 時間  Wed May  6 21:16:26 2020                                               
───────────────────────────────────────

※ 引述《DuckAdmiral (超級鴨子司令官)》之銘言：
: 是這樣的 有個很知名的外星人叫ウルトラマン
: 台灣不管是網飛
: https://i.imgur.com/7KgbqvC.jpg
: MOMO親子台
: https://i.imgur.com/QnFGcjK.jpg
: 夢時代
: https://i.imgur.com/WpZoF8A.jpg
: 都已經是超人力霸王了，現在還在鹹蛋超人 應該是那種還在小叮噹 柯國隆 神奇寶貝那
: 種又老又臭的人吧


鹹蛋超人就是周星馳取的綽號
就像小熊維尼習近平一樣,很傳神但當然不是正式場合使用

除非你吃到習維尼的口水,才會連這樣淺顯易懂的綽號都那麼排斥


至於最早的譯名也不叫什麼超人力霸王
最早以前每個不同超人就是不同片名
像是超人雷歐,超人蓋亞,和美國的超人其實也不會搞混
真要講個集合名詞,偶爾會使用"宇宙超人"

以前還有一本圖鑑叫宇宙超級怪獸圖鑑
借用別人的網誌,如下
https://hikarun2011.pixnet.net/blog/post/105202139


所以鹹蛋超人本來就不是正式翻譯,只是讓人會心一笑的綽號

至於最爛的垃圾翻譯就是奧特曼了吧
就像蜘蛛人翻"屎博德曼",蝙蝠俠翻"別特曼",鋼鐵人翻"愛融曼"
沃夫凌和和史東都是艾克斯曼的成員(金鋼狼和暴風女都是X戰警的成員)
這樣你能接受嗎

就算再怎麼不會翻,至少也叫奧特超人吧
原本超人蓋亞變成蓋亞奧特曼
奧特曼直接變成姓氏,真的有夠垃圾的翻譯


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.220.52.148 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770989.A.EC3.html
推 gaym19: 閃電五騎士V3                                            05/06 21:17
推 EGOiST40: 奧特曼奧特曼 社會搖                                   05/06 21:18
推 Satoman: 烏魯拖拉曼                                             05/06 21:26
推 BITMajo: 鄉民→威利治曼，好像變比較屌了                         05/06 21:27
推 key0077: 有一度覺得力霸王太長 鹹蛋會被幹 所以就用音譯的奧特曼   05/06 21:51
推 eva00ave: 翻奧特曼結果就是七號的翻譯歪掉                        05/06 21:52
→ key0077: 比較順口 要喊ULTRAMAN不是不行 但就會直接選擇直接避談   05/06 21:53
→ key0077: 一部分是我沒有一直看好感不高 另一部分被限制會直接回避  05/06 21:54
→ key0077: 不順口造成不好記然後直接被遺忘我是覺得沒有差的         05/06 21:55


--------------------------------------------------------


 作者  MeiHS (囧)                                                看板  C_Chat 
 標題  [閒聊] 宮城良田的飛踢是從BruceBowen學的嗎？                            
 時間  Wed May  6 21:16:40 2020                                               
───────────────────────────────────────

想當年，

宮城踹掉墮落三井的門牙以後，三井一個玻璃心不爽，落來一群打手，

想給湘北一個回禮。


這次宮城乖乖的，被打到流鼻血也不敢還手，直到球隊經理被冒犯，

良田兄終於忍無可忍，一個箭步飛踢過去！

。。

令我想起當年

https://www.youtube.com/watch?v=edb6bz_C9ms
Bruce Bowen kicked Wally Szczerbiak's face

可憐的賽比亞克。。


所以說，宮城的飛踢是從贓包學來的嗎？

--

我覺得我蠻蠢的，也蠻失敗的，

竟然對一些沒見識的小朋友ID惱怒。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.169.90.63 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771003.A.388.html
推 jeff235711: 踢得行雲流水                                        05/06 21:20
推 Stat14: 沒裝個無辜，還沒學到包溫的精髓                          05/06 22:08


--------------------------------------------------------


 作者  sch1508 (嗨。)                                            看板  C_Chat 
 標題  [閒聊] 紅到圈外的台灣娛樂小說家                                        
 時間  Wed May  6 21:18:02 2020                                               
───────────────────────────────────────

是說版上前幾天在討論九把刀

我想到之前看過的一篇文章

提到歷史小說家高陽當年在報紙上連載時的盛況

用現在的話講應該是紅到圈外吧

時間大約是1970、1980年代

叱吒風雲二十年

雖然大家現在對九把刀有很多意見

不過全盛時期的他真的很紅

應該也算是紅到圈外了

但那也是2000年以後的事了

我想了一下

這中間真的沒有其他人了嗎？

在九把刀之後還有其他紅到圈外的台灣娛樂小說家嗎？

還是說都去創作其他東西了XDD

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 123.0.51.254 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771085.A.224.html
→ ga839429: 一般大眾文學哪有分什麼圈內圈外                        05/06 21:20
→ youareabitch: 我也想問 是哪個圈                                 05/06 21:21
推 XIUXIAN: 哪個圈？                                               05/06 21:23

就是一般不看小說的也聽過或會跟風去看這樣。

→ akuma183: 被小說擔誤的油土伯算嗎 https://youtu.be/rxzeqdhkOzU   05/06 21:24
推 zego41: 蝴蝶 笭箐 護玄這些都很紅吧，甚至比九還紅                05/06 21:25

圈內吧？

→ XIUXIAN: 阿里布達圈外也會看。                                   05/06 21:25
→ ga839429: 這年頭要比刃太當年還紅很難 時代已經過去了             05/06 21:28

會再來吧。

→ andy7799: 我看不懂什麼叫娛樂小說家，就跟娛樂決鬥一樣            05/06 21:28

你要說通俗小說、大眾小說也行，我個人偏好娛樂小說，目的很明確啊。

推 rochiou28: 也就那些年最紅而已吧                                 05/06 21:34

不容易啊。
※ 編輯: sch1508 (123.0.51.254 臺灣), 05/06/2020 21:45:58
→ Alwen: 0，只有九把刀                                            05/06 21:41
→ Alwen: 剩下的都是加減看，在某些小圈圈很紅的那種而已             05/06 21:42
→ Alwen: 作家讀書會 見面會  本身就是小眾團體的類似聚會阿          05/06 21:44
→ Alwen: 光有些見面會都直接辦在書店就知道，他們不CARE場地大小     05/06 21:44
→ Alwen: 小說時代已經過去惹，淪為小眾                             05/06 21:47
→ Alwen: 以前大部分閒人會看小說，現在 都在追劇                    05/06 21:47
→ Alwen: 每個人的時間有限阿...                                    05/06 21:48
推 xkiller1900: 認真說，沒有，不會看娛樂、大眾小說的人，大概真的   05/06 22:13
→ xkiller1900: 只會知道刃太                                       05/06 22:13
→ qazxswptt: 後來是刃太比較紅                                     05/06 22:16
→ sweetmiki: 蝴蝶那幾個我真的聽人講都沒聽過==                     05/06 22:16


--------------------------------------------------------


 作者  QB5566 (/人◎ ω ◎人\)                                   看板  C_Chat 
 標題  Re: [公連] 被榨乾好還是逃跑好？                                        
 時間  Wed May  6 21:18:19 2020                                               
───────────────────────────────────────

感覺這個胖子應該有被好好治療吧

不然看他這種肥度

大概36歲身體就壞光光了

還沒有醫療團隊幫他開刀

木瓜流星群算很佛心了


借標題問一下

現在練惠理子會不會太遲了

雖然一直知道是重要的輸出角

不過覺得她好像有點瘋瘋癲癲的所以都沒練

然後她情人節活動也剛好沒玩

可是看了動畫

https://m.imgur.com/eu0J6Pp.jpg

看惠理子貼近這一幕

說起來有點下流 我好羨慕佑樹

請問現在開始刷困難關來得及嗎?

--
不                    嗎   │ ◤  ˋ │         │ ◤  ˋ │  ▎ φhacoolman  
不 現在簽下去的話，   嗎    /│   ●   │＿＿＿＿ │   ●   │\    alan99     
不 馬上放榮譽假囉！   嗎 ▊/ │ ◣  ◤ │         │ ◣  ◤ │ \  ▏ 簽嗎不簽嗎 
不                    嗎  │ ╰────╯         ╰────╯ │ ▍ 簽嗎不簽嗎 
不簽嗎不簽嗎不簽嗎不◥嗎▊ \                                   │  ▎  嗎不簽嗎 
不簽嗎不簽嗎不簽嗎不簽      \             ︶︶                 /    ▏ 嘿~嘿~嘿~

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.47.118.231 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771101.A.6E9.html
推 SiaSi: 木瓜流星群是賣果汁的嗎？                                 05/06 21:19
→ linceass: 最好刷的就這隻 記得她有五關                           05/06 21:20
推 tw15: 不會太遲啦 就刷起來放著                                   05/06 21:21
推 hyuchi0202: 等病嬌6星保證又是屠殺眾生                           05/06 21:26
推 opeminbod001: 病嬌超讚                                          05/06 21:29
推 urzakim: 缺點只有ub要等妄想                                     05/06 21:38
推 jeeyi345: 每天刷就出來了                                        05/06 21:41
→ honey4617912: UB還會乳搖居然不刷                                05/06 22:13


--------------------------------------------------------


 作者  Nuey (有貓我就推)                                         看板  C_Chat 
 標題  [鬼滅] 和柱打排球                                                      
 時間  Wed May  6 21:18:21 2020                                               
───────────────────────────────────────

@hakohako29
https://twitter.com/hakohako29/status/1258020583352070145/photo/1
https://pbs.twimg.com/media/EXViTcAUMAEz3dH.jpg

旁邊三個是接了岩柱的殺人扣球的

怎麼有兩個吃貨和一個拍照仔在鬼混啊XDDD

--
https://imgur.com/IjSYXAC
https://pbs.twimg.com/media/EBc1GvZU8AAxYB5.jpg
https://pbs.twimg.com/media/EAnntTpUIAAui0R.jpg
https://pbs.twimg.com/media/D-9Bv5UU0AEbcKq.jpg
https://pbs.twimg.com/media/EBm3QDrWkAAtvZW.jpg

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.177.28.99 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771107.A.B4B.html
推 z72117211: 炭旁邊的是誰啊                                       05/06 21:26
→ whitecygnus: 師兄兔哥吧                                         05/06 21:29
推 ga787540: 畢竟一個岩柱就夠打全部了XD，看那懸殊的比分。          05/06 21:54


--------------------------------------------------------


 作者  oppaidragon (歐派是和平的象徵)                            看板  C_Chat 
 標題  [閒聊] FF7RE 簡易人物介紹                                              
 時間  Wed May  6 21:19:52 2020                                               
───────────────────────────────────────

https://twitter.com/tbtnbo/status/1257827879267663872

https://pbs.twimg.com/media/EXSzyWcUYAIN0QP.jpg

克勞德：
本作的主角。前神羅戰士1st
前神羅戰士1st？我什麼時候成為神羅戰士了？
嗚...啊...我...克勞德...我想起來了，我該做的事
嗯？怎麼了？有什麼奇怪的嗎？我是前神羅戰士的克勞德


蒂法：
克勞德的青梅竹馬
追加了住在克勞德隔壁這非常美味的設定，不過沒特別發生什麼事
喜歡克勞德


欸啊莉絲：
貧民窟的花商
使用著比起原版更加強化的大姊姊之力玩弄著童貞克勞德
喜歡克勞德


https://pbs.twimg.com/media/EXSzyWdUYAALjDA.jpg

巴雷特：
雪崩的領導人
本作的女主角
喜歡克勞德


潔西：
雪崩的成員
把女主角和基友們擺在一邊偷親克勞德的強氣小姐。很可愛
喜歡克勞德


畢格斯：
雪崩的成員
除了是好人以外沒有其他印象
喜歡克勞德


https://pbs.twimg.com/media/EXSzyXcUMAAHPaR.jpg

威吉：
雪崩的成員
因為屁股中彈被克勞德笑
喜歡克勞德


羅榭：
神羅戰士3rd
在很無所謂的戰鬥中很無所謂的打輸後就沒戲份的頑皮小子
喜歡克勞德


查德利：
不管去哪裡都會出現的正太
因為看到克勞德的女裝而打開新世界的大門
喜歡克勞德


https://pbs.twimg.com/media/EXSzyYZU8AAF5no.jpg

賽菲羅斯：
前略(太長了懶得翻譯XD)

喜歡克勞德！！！




結論：這是一款刺蝟頭大刀仔帥哥到處開後宮的遊戲(X

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.165.180.5 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771195.A.A1D.html
推 Tiandai: 好像沒什麼好反駁的                                     05/06 21:22
推 good74152: 大家都喜歡克勞德                                     05/06 21:26
推 ganbaru: NTR部落格在懷疑蒂法太過習慣男人會不會是那啥...         05/06 21:26
推 good74152: 喜歡克勞德的是男人比較多                             05/06 21:30
推 LLSGG: 原來是楊過                                               05/06 21:30
推 yukimura0420: 超級喜歡克勞德                                    05/06 21:30
推 areysky: 本作的女主角wwwww                                      05/06 21:34
推 S26: 真的是陽具  不 是陽過                                      05/06 21:37
推 akatsukikumo: http://i.imgur.com/W3BkFY5.jpg 補個WB上看到的賽   05/06 21:57
→ akatsukikumo: 菲翻譯 超有問題的啊老賽！                         05/06 21:57
推 HeterCompute: 你們都是我的翅膀呢                                05/06 21:58


--------------------------------------------------------


 作者  tok892xt7 (伊茲我老婆)                                    看板  C_Chat 
 標題  [閒聊] 你是茶渡 會選擇保護還是擁抱？                                   
 時間  Wed May  6 21:20:23 2020                                               
───────────────────────────────────────


茶渡的詩

「如果手中握著劍 就無法擁抱你

如果手中沒有劍 就無法保護你」

相當浪漫

如果今天 你遇到茶渡這總情況

你會選擇

保護自己愛的人 放棄擁抱

還是只想單純擁抱自己愛的人
-----
Sent from JPTT on my iPhone

--
https://i.imgur.com/Gi2mpur.gif
https://i.imgur.com/uIMWDXl.gif
https://i.imgur.com/GtsZxeg.gif
https://i.imgur.com/ng78HHK.jpg

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 27.246.160.207 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771226.A.CAD.html
推 bloodartanis: 選擇躺在地上當地毯                                05/06 21:22
推 LSLLtu: 脫下長日的假面                                          05/06 21:22
推 rp20031219: 南瓜馬車的午夜                                      05/06 21:23
推 a123444556: 我無法想像                                          05/06 21:23
推 yukimura0420: 2分鐘便可結束                                     05/06 21:24
推 Foot: 茶度不用劍，沒這個問題                                    05/06 21:25
→ EvilCerberus: 握住心愛的人當劍一樣揮舞                          05/06 21:35
推 xxxg00w0: 當然是全都要啊 沒聽過"左手持鐮 右手擁妳"嗎?           05/06 21:35
→ vincentwg: 我就是要把人抱了 還把人保了                          05/06 21:35


--------------------------------------------------------


 作者  sevenzgod (7z)                                            看板  C_Chat 
 標題  [問題] 推薦尼特族看歡迎加入nhk好嗎                                     
 時間  Wed May  6 21:23:30 2020                                               
───────────────────────────────────────


如題

我同學辣 當完兵面試幾次就不小心在家待業超過兩個月

現在在當尼特族 每天玩手遊

我是本身就看過nhk了

就在講尼特族的故事


我同學有點憂鬱症又不去看醫生

推薦他看這個有用嗎




-----
Sent from JPTT on my Asus ASUS_Z01KD.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.230.160.220 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771413.A.FFF.html
→ devilkool: 有用是指什麼                                         05/06 21:24
產生活下去的動力啊
※ 編輯: sevenzgod (61.230.160.220 臺灣), 05/06/2020 21:25:03
推 XIUXIAN: 沒用，要有小岬出現才行。                               05/06 21:25
→ dashed: 會想自殺吧                                              05/06 21:26
推 crash121: 不要吧 鬱上加鬱欸                                     05/06 21:26
推 kuroxxoo: 別啊 這是落井下石QQ                                   05/06 21:28
→ MikageSayo: 那種機會不屬於你同學(X) 那種機會不屬於你(O)         05/06 21:29
推 magamanzero: 沒用 認真講 這是給正常人看得 ...                   05/06 21:31
推 Ikaros2601: 沒有動畫能治憂鬱症ㄅ                                05/06 21:32
推 Manaku: 別 現實沒有女主角 甚至學姐眼鏡朋友都沒                  05/06 21:32
推 mikuyoyo: 還不如看昨日之歌                                      05/06 21:33
推 Ikaros2601: 而且我覺得他看完之後如果本來沒有玩gal會開始玩  因   05/06 21:35
→ Ikaros2601: 為我就是                                            05/06 21:35
→ Ikaros2601: 奇怪剛當完兵不是應該會很有工作動力ㄇ                05/06 21:36
推 shampoopoo: 御宅族的錄像帶怎麼樣? 雖然很老XD                    05/06 21:57
→ Alwen: 現實nhk沒有小岬  高分少女沒有大野晶跟日高小春            05/06 22:02
→ Alwen: 只能魯一輩子                                             05/06 22:02
→ Alwen: 孤僻的人看惹nhk會更孤僻                                  05/06 22:06


--------------------------------------------------------


 作者  MinatoFlash (飛雷神水門)                                  看板  C_Chat 
 標題  [問題] 四代火影是不是很謙虛                                            
 時間  Wed May  6 21:26:18 2020                                               
───────────────────────────────────────

如題

四代雖然說他不擅長用仙術

但要打斑的時候是直接瞬間進入仙人化
而且也是完美仙人
沒有像自來也開仙人模式要超久 也沒有青蛙化
這種想開就開
然後一開就是完美仙人化的仙人模式
還說自己不擅長


而很多人常說水門沒有什麼極大破壞力的招
其實他只要開仙人模式
然後搓一顆仙法超大玉丸子
或是開幾個影分身一切來個大玉螺旋丸連彈
再搭配飛雷神飛來飛去的

可能只有求道玉打不爆了


所以四代火影484非常謙虛呢


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 27.246.69.230 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771580.A.3E5.html
→ winda6627: 版本。                                               05/06 21:27
→ Nravir: 他這有九尾幫忙算嗎                                      05/06 21:28
→ MinatoFlash: 他開仙人模式的時候體內的九尾已經被黑絕幹走了吧     05/06 21:29
推 opengaydoor: 他的不擅長可能是無法一邊飛雷神連段一邊仙人模式吧   05/06 21:30
推 tommychiu: 台大文組:我理科不太好 可是還是能電爆90%的同級生      05/06 21:41
推 a5733724: 自肥竟然沒人發現                                      05/06 21:50
→ windows0310: 那是九尾模式 ……不是仙人模式                      05/06 21:59
→ windows0310: ……剛剛去查 四代真的會仙人模式……                05/06 22:05
推 Sakamaki: 開仙人時已經沒有九尾了                                05/06 22:09
推 bicdyueh1212: 看到六樓才發現是自肥 哈哈哈哈哈                   05/06 22:17


--------------------------------------------------------


 作者  abccbaandy (敏)                                           看板  C_Chat 
 標題  Re: [閒聊] LOR有機會幹掉爐石嗎?                                        
 時間  Wed May  6 21:27:20 2020                                               
───────────────────────────────────────


好像每款卡牌遊戲都會被拿來跟爐石比XD




個人覺得LOR的客群應該不是爐石那群，而是MTGA

LOR跟MTGA真的很像，所以有些人會說還不如去玩MTGA

但LOR有個很大的差異就是沒有地牌，卡手機率大減

就算起手5566也不用投，努力撐過5回合就可以了

而且因為LOR在對手回合也能下怪，所以能撐過的機率其實非常高


這幾天在玩因為卡手輸掉的場次大概20場才1場左右(體感)


推薦老是卡/爆地受不了退坑的人，試試LOR ~ 沒地牌的MTGA(?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.133.8.224 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771643.A.9B3.html
推 thumbd78492: 爐石剛出的時候我還有法傷法(非冰法)超高勝率可以玩   05/06 21:29
→ qd6590: 而且可以存魔法專用的魔力 就算卡手3turn就能放6mana法術   05/06 21:29
→ thumbd78492: 卡牌遊戲不說剛出，就是環境剛改都有一堆不會打的給   05/06 21:29
→ thumbd78492: 你亂殺，稍微會玩勝率當然高                         05/06 21:30
→ thumbd78492: 以上言論不代表LOR不好玩或沒技術，單純對卡牌遊戲的  05/06 21:30
→ thumbd78492: 看法                                               05/06 21:30
→ abccbaandy: 我說的不是虐新手...不只MTGA，你爐石起手5566也差不   05/06 21:31
→ abccbaandy: 多可以投了                                          05/06 21:31
→ abccbaandy: LOR很多機制讓你不會因為起手爛而直接GG，就像2F說的   05/06 21:33
→ abccbaandy: 但MTGA卻沒有，我沒地我就永遠下不了怪，等多久都一樣  05/06 21:33
推 shadowblade: 每個要挑戰MTG的都是先解決卡地問題                  05/06 21:33
→ wutomy2000: 可以存三顆法術水晶的設計滿好的                      05/06 21:35
推 Tsai07: 卡手問題真的很少，起手就算是345費，也很少會滿場挨打     05/06 21:36
推 hydraspili: 而且可以存水晶 卡了的懲罰又更小了                   05/06 21:39
推 recursive: 玩LOR不如去玩MTGA 玩起來像閹割版MTGA                 05/06 21:50
推 raincole: MTG的堆疊和防守方選格擋的概念我覺得都很好啊，LoR有    05/06 22:15
→ raincole: 但是不需要抽地，然後卡牌描述短一些，資源給比 MTGA 多  05/06 22:16
→ raincole: 不過我認為不可能幹掉爐石，就算 MTGA 比爐石早出爐石還  05/06 22:16
→ raincole: 是會慢慢爬上去，何況現實中是爐石先行那麼多            05/06 22:17
→ raincole: MTGA 都無法幹掉爐石的話 LoR 大概也是沒希望            05/06 22:17
→ raincole: 當年爐石能紅除了暴雪加持就是 MTGO 做得不好，有這個    05/06 22:19
→ raincole: 市場空缺，現在這空缺已經不存在了                      05/06 22:19


--------------------------------------------------------


 作者  wl760713 (willy)                                          看板  C_Chat 
 標題  [閒聊] 鬼滅之刃 204 情報圖                                             
 時間  Wed May  6 21:30:47 2020                                               
───────────────────────────────────────

https://imgur.com/fGhXjba.jpg
宇  髄
和老婆們

https://imgur.com/TMYGUqT.jpg
一起吃飯.洗澡.打掃

https://imgur.com/Zn7or8V.jpg
炭香

https://imgur.com/tPWnJjs.jpg
義勇新髮型

https://imgur.com/6o8U31M.jpg
實彌看到禰豆子說喜歡睡覺
想起玄彌 說喜歡睡覺 因為不會肚子餓

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.228.93.10 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588771849.A.84C.html
推 sabertomoaki: 義勇笑了啊                                        05/06 21:32
推 nanachi: 義勇終於笑了                                           05/06 21:32
推 zxasqw0246: 這結局看起來好廉價                                  05/06 21:32
